Claim,True,Prediction,Confidence,Retrieved Title,Retrieved Text
Anneliese van der Pol had an early career in musical theater before her claim to fame in That's So Raven.,SUPPORTS,NOT ENOUGH INFO,0.9996862411499023,Anneliese van der Pol,"Anneliese van der Pol (born September 23, 1984) is a Dutch-American actress and singer. She is best known as Chelsea Daniels in the Disney Channel show, That's So Raven. She recorded several songs for The Walt Disney Company. She made her Broadway start in 2007. In 2010, she was cast in Vampires Suck."
Mary of Teck's son abdicated the throne in 1902.,NOT ENOUGH INFO,REFUTES,0.999716579914093,Mary of Teck,"In 1936, King George V died. His death was shortened by an injection of morphine and cocaine, administered by his doctor. Queen Mary supported her son, now King Edward VIII, during his reign. In December, however, the King abdicated the throne because he wished to marry a divorced American commoner, Wallis Simpson."
Diwali is one of the most popular festivals of Christianity.,NOT ENOUGH INFO,REFUTES,0.9994490742683411,Diwali,"Diwali (also: Deepawali) is one of India's biggest festivals. The word 'Deepawali' means rows of lighted lamps. It is a Festival of Lights and Hindus celebrate it with joy. During this festival, people light up their houses and shops with Diyas (small cup-shaped oil lamp made of baked clay). They worship the Lord Ganesha for  welfare and prosperity and Goddess Lakshmi for wealth and wisdom."
Invasion literature was influential in Spain in shaping popular perceptions.,REFUTES,NOT ENOUGH INFO,0.6223267912864685,Españolada,"This distortion about Spain would have its beginnings in the 19th century, when several European writers and artists from the romanticism era made popular the ""Spanish Myth"". One of those famous novels inspired in Spain were Carmen by Prosper Mérimée."
Bala has received the National Film Award for Best Director in 2011.,NOT ENOUGH INFO,REFUTES,0.9623746871948242,Martin Scorsese,"On January 15, 2012, at the 69th Golden Globe Awards, Scorsese won an award for Best Director on the 2011 movie Hugo."
Renato Balestra refused to study for an engineering degree.,REFUTES,NOT ENOUGH INFO,0.869541347026825,Renato Carosone,"Renato Carosone  (; born Renato Carusone; January 3, 1920 – May 20, 2001) he is an Italian musician."
"The Bassoon King's working title was My Life in Art, Faith, and Idiocy.",REFUTES,NOT ENOUGH INFO,0.6548022627830505,Saul Bass,Saul Bass Title Sequences on Art of the Title
"The Little Prince (2015 film) is directed by an American film director, writer, producer and animator.",SUPPORTS,NOT ENOUGH INFO,0.9664654731750488,Steve Hickner,Steve Hickner is an American animator and director who directed Bee Movie and The Prince of Egypt.
"Manchester United is based in Bolton, Greater Manchester, England.",REFUTES,NOT ENOUGH INFO,0.5228381752967834,Manchester United F.C.,Manchester United Football Club (F.C.) is a football club that plays in the Premier League. They play their home games at Old Trafford which is in Greater Manchester.
Kareena Kapoor had some failures.,SUPPORTS,NOT ENOUGH INFO,0.9979890584945679,Kareena Kapoor,"Kareena Kapoor (; born on 21 September 1980) is a famous Bollywood actress. She has  starred in many romantic dramas, comedies, independent movies, and Bollywood movies."
